id,lead_id,deal_stage,deal_value,margin,commission_pct,competitor_notes,assigned_to,expected_close_date,created_at,updated_at
1,16,Proposal,505779.58,0.44,0.0908,Competitor C pricing at 1439825.97,13,2026-08-16,2024-10-09,2024-07-13
2,30,Prospecting,3317216.0,0.42,0.0976,Competitor A pricing at 209909.41,11,2026-03-04,2024-09-06,2024-05-08
3,14,Prospecting,4150791.01,0.38,0.0962,Competitor A pricing at 1319609.74,5,2026-10-17,2026-03-18,2025-09-02
4,18,Qualification,4937761.25,0.37,0.1238,Competitor A pricing at 2646942.11,1,2026-01-02,2024-05-14,2024-01-16
5,16,Closed Won,1625619.6,0.19,0.0268,Competitor C pricing at 1688474.54,4,2026-07-03,2026-02-02,2024-03-06
6,29,Proposal,2571057.41,0.15,0.0855,Competitor C pricing at 181113.23,26,2026-09-01,2025-11-05,2025-06-17
7,30,Closed Lost,4820490.65,0.13,0.0823,Competitor B pricing at 1709684.29,4,2026-06-04,2025-05-17,2025-12-30
8,5,Prospecting,1617337.98,0.17,0.0364,Competitor C pricing at 2535242.28,18,2026-08-16,2025-12-30,2024-11-28
9,39,Closed Won,1481539.75,0.35,0.0759,Competitor C pricing at 464740.98,21,2026-07-15,2025-10-28,2026-02-26
10,47,Qualification,2156049.01,0.54,0.0738,Competitor B pricing at 1599730.9,24,2026-10-10,2024-04-07,2024-11-16
11,21,Closed Lost,1281900.08,0.58,0.1093,Competitor B pricing at 275996.17,27,2026-08-07,2024-03-28,2024-04-05
12,7,Closed Lost,3696592.03,0.51,0.0923,Competitor C pricing at 3826845.5,18,2026-08-10,2024-12-03,2025-11-17
13,27,Proposal,4369300.79,0.57,0.075,Competitor C pricing at 213372.75,10,2026-03-04,2025-09-06,2024-11-15
14,7,Closed Won,2541988.61,0.18,0.0827,Competitor A pricing at 1405655.06,18,2026-06-30,2025-01-11,2024-04-27
15,37,Qualification,4038034.64,0.52,0.1467,Competitor C pricing at 2457384.54,21,2026-05-23,2025-07-24,2024-01-27
16,43,Closed Lost,1344564.15,0.19,0.1114,Competitor B pricing at 3686777.78,12,2026-11-08,2024-01-07,2024-07-04
17,37,Closed Lost,2009913.88,0.17,0.1023,Competitor A pricing at 374296.67,17,2026-03-15,2024-08-08,2025-01-20
18,30,Proposal,795472.29,0.26,0.0622,Competitor C pricing at 2388125.3,29,2026-08-03,2024-02-23,2024-06-08
19,49,Closed Won,258314.84,0.14,0.0776,Competitor B pricing at 1946761.53,15,2026-03-22,2025-02-28,2024-10-06
20,49,Closed Won,577949.37,0.31,0.0568,Competitor C pricing at 2375791.93,17,2026-04-21,2025-11-14,2024-11-11
