id,warehouse_name,location,capacity,product_id,quantity,last_restock_date,created_at
1,South Facility,"New York, NY",93318,13,382,2025-05-10,2023-02-03
2,Central Hub,"New York, NY",55193,8,750,2025-12-03,2023-08-01
3,North Depot,"Chicago, IL",27486,2,360,2025-10-07,2024-11-24
4,West DC,"Houston, TX",72722,6,830,2025-03-11,2023-05-10
5,South Facility,"New York, NY",48462,7,44,2026-02-10,2024-02-13
6,East DC,"Chicago, IL",50642,17,407,2026-02-22,2026-01-17
7,South Facility,"Chicago, IL",14799,7,292,2025-07-02,2023-04-08
8,Central Hub,"Chicago, IL",26315,12,447,2026-04-01,2025-03-30
9,South Facility,"Houston, TX",54438,6,508,2025-12-21,2025-10-15
10,Central Hub,"Seattle, WA",44959,3,744,2025-08-06,2023-06-11
11,South Facility,"Seattle, WA",33652,18,300,2025-06-14,2023-07-30
12,East DC,"Chicago, IL",96628,10,313,2025-08-17,2025-05-22
13,West DC,"Houston, TX",56077,15,43,2026-01-08,2024-12-23
14,North Depot,"Houston, TX",45986,2,76,2025-12-10,2025-04-11
15,Central Hub,"Seattle, WA",99051,6,975,2025-01-16,2023-10-20
16,North Depot,"Houston, TX",14561,5,68,2025-05-01,2025-01-20
17,Central Hub,"Houston, TX",84349,2,619,2025-03-20,2025-07-10
18,Central Hub,"Chicago, IL",68188,3,587,2025-03-12,2025-12-20
19,Central Hub,"Houston, TX",51207,9,255,2025-02-28,2023-02-23
20,West DC,"Houston, TX",77861,13,935,2025-10-15,2023-08-30
