id,employee_id,review_period,performance_rating,reviewer_id,goals_achieved,notes,created_at
1,63,2024-H1,5,2,2,Performance review notes batch 2,2026-02-26
2,39,2024-H1,2,4,8,Performance review notes batch 4,2024-04-07
3,100,2025-H1,4,15,7,Performance review notes batch 3,2026-04-20
4,55,2024-H2,5,20,0,Performance review notes batch 5,2023-07-23
5,98,2024-H1,2,9,10,Performance review notes batch 1,2023-11-18
6,31,2024-H1,5,3,2,Performance review notes batch 1,2025-04-16
7,58,2025-H1,5,16,4,Performance review notes batch 1,2024-04-19
8,37,2025-H1,3,15,1,Performance review notes batch 2,2024-06-25
9,81,2025-H1,2,14,1,Performance review notes batch 5,2024-04-05
10,83,2024-H1,3,5,1,Performance review notes batch 1,2023-12-06
11,40,2025-H1,5,10,7,Performance review notes batch 1,2025-08-17
12,89,2024-H2,4,9,8,Performance review notes batch 5,2025-10-08
13,57,2024-H1,5,2,6,Performance review notes batch 3,2024-05-27
14,4,2024-H1,2,19,9,Performance review notes batch 1,2024-07-05
15,74,2024-H1,2,16,8,Performance review notes batch 4,2024-07-23
16,24,2025-H1,4,16,1,Performance review notes batch 4,2024-12-13
17,53,2024-H2,3,4,2,Performance review notes batch 3,2025-04-23
18,89,2024-H2,3,13,8,Performance review notes batch 1,2025-07-20
19,12,2024-H2,3,11,1,Performance review notes batch 4,2025-11-19
20,1,2025-H1,5,15,6,Performance review notes batch 1,2024-01-20
