id,employee_id,benefit_type,coverage_level,premium,enrolled_date,effective_date,created_at
1,80,Life,Individual+1,558.35,2024-01-06,2025-06-14,2023-04-16
2,71,Dental,Family,553.83,2023-10-01,2024-07-27,2025-09-19
3,81,401k,Individual,866.25,2023-01-15,2024-05-04,2024-09-28
4,71,Life,Individual,308.41,2023-01-15,2025-07-18,2023-08-21
5,83,Dental,Family,1122.55,2023-05-01,2025-04-17,2024-08-20
6,35,Life,Family,1177.28,2024-12-23,2025-06-05,2024-05-14
7,19,Life,Individual,1110.15,2024-07-18,2025-04-12,2025-11-06
8,9,Vision,Family,440.86,2023-10-07,2026-02-03,2025-11-05
9,37,HSA,Family,1013.1,2023-01-03,2024-09-30,2026-04-02
10,20,Life,Individual+1,606.99,2025-09-29,2025-11-06,2024-11-11
11,70,Life,Family,1122.78,2025-02-20,2025-07-19,2024-01-22
12,74,Life,Individual,1034.41,2024-05-04,2025-12-15,2025-04-21
13,96,Life,Individual+1,1100.44,2023-06-12,2024-02-14,2025-02-19
14,84,Dental,Family,1159.55,2024-11-10,2025-01-30,2023-09-16
15,43,Health,Family,164.67,2024-08-27,2025-05-29,2025-07-24
16,19,Life,Individual+1,1165.45,2024-01-05,2024-01-16,2023-06-03
17,34,Vision,Individual+1,846.61,2025-03-11,2025-04-25,2023-06-14
18,69,Life,Family,770.82,2024-11-21,2024-12-02,2025-09-26
19,80,Health,Individual,775.84,2023-02-06,2025-07-08,2024-08-11
20,56,Health,Individual+1,859.47,2023-04-03,2024-08-20,2023-07-25
