Scenario	Intent #	Description	Domain	Sub-Domain	Data Source	Business View	Unstructured Source	Intent Types	Data Fetch	Reasoning	Action
S01] Invoice Dispute with Contract Verification	1	Retrieve invoice and payment records for order ORD-4589	Finance	Invoicing	Structured	Finance_Accounting_Business_View	—	Data	Yes	No	No
S01] Invoice Dispute with Contract Verification	2	Compare invoice and payment records against contract terms to validate discount eligibility	Sales	Contract	Both	Finance_Accounting_Business_View	Contract document	Reasoning	Yes	Yes	No
S01] Invoice Dispute with Contract Verification	3	Create a correction request for the invoice	Finance	Invoicing	Structured	—	—	Action	No	No	Yes
S02] Overdue Payment Reconciliation with Credit Terms Check	1	Reconcile all outstanding payments for the second quarter of 2025.	Finance	Reconciliation	Structured	Finance_Accounting_Business_View	—	Reasoning	Yes	Yes	No
S02] Overdue Payment Reconciliation with Credit Terms Check	2	Identify customer accounts with payments overdue by more than 60 days.	Finance	Payment	Structured	Finance_Accounting_Business_View	—	Reasoning	Yes	Yes	No
S02] Overdue Payment Reconciliation with Credit Terms Check	3	Review the credit terms specified in customer contracts.	Sales	Contract	Unstructured	—	customer contracts	Reasoning	Yes	Yes	No
S02] Overdue Payment Reconciliation with Credit Terms Check	4	Send dunning letters to the qualifying overdue accounts.	Finance	Payment	Structured	Finance_Accounting_Business_View	—	Action	Yes	No	Yes
S03] Budget vs Actuals Variance with Justification Notes	1	Compare Q2 2025 budgeted vs actual expenses per department and identify those exceeding budget by more than 15%.	Finance	Budget	Structured	Finance_Accounting_Business_View	—	"Data, Reasoning"	Yes	Yes	No
S03] Budget vs Actuals Variance with Justification Notes	2	Retrieve variance justification notes from finance review documents.	Finance	Budget	Unstructured	—	finance review documents	Data	Yes	No	No
S04] Asset Maintenance Scheduling with Policy Check	1	List all assets scheduled for maintenance during Q3 2025.	Finance	Asset_Management	Structured	Finance_Asset_Management_Business_View	—	Data	Yes	No	No
S04] Asset Maintenance Scheduling with Policy Check	2	Verify the maintenance budget allocation for the identified assets within the finance system.	Finance	Budget	Structured	Finance_Accounting_Business_View	—	"Data, Reasoning"	Yes	Yes	No
S04] Asset Maintenance Scheduling with Policy Check	3	Analyze equipment manuals to determine if maintenance procedures require a certified third-party vendor.	Operations	Process_Compliance	Unstructured	—	equipment manuals	Reasoning	Yes	Yes	No
S05] Tax Compliance Audit for High-Value Transactions	1	"Retrieve all transactions with a value greater than $10,000 for the Q3 2025 period."	Finance	Accounting	Structured	Finance_Accounting_Business_View	—	Data	Yes	No	No
S05] Tax Compliance Audit for High-Value Transactions	2	Validate transaction compliance by cross-referencing transaction records with the tax compliance archive and certificates.	Finance	Tax_Compliance	Both	Finance_Accounting_Business_View	tax compliance archive and tax certificates	Reasoning	Yes	Yes	No
S05] Tax Compliance Audit for High-Value Transactions	3	Flag transactions that are identified as non-compliant during the cross-check process.	Finance	Tax_Compliance	Structured	Finance_Accounting_Business_View	—	Action	No	No	Yes
S06] Q1 Booking Performance with Delivery Delay Flag	1	Retrieve bookings from Q1 2025 in the North America region with a value exceeding $500K.	Sales	Booking	Structured	Sales_Booking_Business_View	—	Data	Yes	No	No
S06] Q1 Booking Performance with Delivery Delay Flag	2	Identify and flag bookings where the delivery was delayed by more than 7 days.	Sales	Shipment	Structured	Sales_Shipment_Business_View	—	Reasoning	Yes	Yes	No
S07] Cancellation Root Cause with Customer Feedback	1	List all cancellation requests received in the last 30 days	Sales	Cancellation	Structured	Sales_Cancellation_Business_View	—	Data	Yes	No	No
S07] Cancellation Root Cause with Customer Feedback	2	Identify the top 3 cancellation reasons from customer feedback documents	Sales	Cancellation	Unstructured	—	customer feedback documents	Reasoning	Yes	Yes	No
S07] Cancellation Root Cause with Customer Feedback	3	Prepare a summary report for the sales director	Sales	Cancellation	Both	Sales_Cancellation_Business_View	customer feedback documents	Action	Yes	Yes	Yes
S09] Q4 Sales Forecast with At-Risk Deal Analysis	1	Generate a Q4 2025 sales forecast using current pipeline bookings and historical win rates.	Sales	Forecasting	Structured	Sales_Booking_Business_View	—	Reasoning	Yes	Yes	No
S09] Q4 Sales Forecast with At-Risk Deal Analysis	2	Identify the top 10 at-risk deals based on their monetary value.	Sales	Booking	Structured	Sales_Booking_Business_View	—	Data	Yes	No	No
S09] Q4 Sales Forecast with At-Risk Deal Analysis	3	Extract risk factors from CRM notes for the identified at-risk deals.	Sales	Booking	Unstructured	—	CRM notes	Reasoning	Yes	Yes	No
S09] Q4 Sales Forecast with At-Risk Deal Analysis	4	Suggest next-best-actions for each identified at-risk deal.	Sales	Booking	Both	Sales_Booking_Business_View	CRM notes	Reasoning	Yes	Yes	No
S12] SLA Breach Investigation with Root Cause Escalation	1	Identify all customer support tickets that breached SLA in the last 7 days	Operations	SLA_Monitoring	Structured	—	—	Data	Yes	No	No
S12] SLA Breach Investigation with Root Cause Escalation	2	Retrieve root cause details from incident reports	Operations	SLA_Monitoring	Unstructured	—	incident reports	Data	Yes	No	No
S12] SLA Breach Investigation with Root Cause Escalation	3	Categorize the types of SLA breaches	Operations	SLA_Monitoring	Both	—	incident reports	Reasoning	Yes	Yes	No
S12] SLA Breach Investigation with Root Cause Escalation	4	Escalate teams with more than 3 repeat SLA breaches to the Operations VP	Operations	SLA_Monitoring	Structured	—	—	Action	Yes	Yes	Yes
