id,department_id,budget_allocated,budget_spent,fiscal_year,approved_by,created_at,updated_at
1,5,3215162.65,1036921.08,2021,328,2021-07-25,2021-02-23
2,2,3399662.46,3749697.18,2024,532,2020-05-10,2020-05-02
3,10,513791.44,261722.69,2020,674,2022-03-25,2026-02-10
4,5,2126623.11,1497755.44,2026,990,2020-01-27,2021-10-15
5,3,3505790.01,2125299.18,2021,881,2023-10-10,2021-02-22
6,14,509091.92,197041.35,2022,718,2022-12-19,2020-06-26
7,15,3662172.34,2866035.42,2023,180,2023-04-15,2024-01-21
8,1,2907893.12,2716305.57,2025,333,2023-03-31,2020-11-22
9,7,4283822.72,4625822.99,2022,564,2024-02-03,2021-10-28
10,5,1882395.79,919656.37,2025,799,2020-10-19,2021-12-01
11,8,2693992.39,1401764.61,2023,376,2022-06-18,2023-08-21
12,4,4222117.0,4215361.28,2026,132,2023-07-16,2024-07-01
13,10,1375317.34,673746.73,2025,422,2022-05-20,2025-08-06
14,8,2008377.91,2255594.83,2021,371,2021-07-25,2022-10-07
15,12,3737695.46,2934388.31,2024,538,2024-06-23,2024-01-22
16,9,1135637.76,1360248.56,2023,193,2020-07-11,2021-03-25
17,11,806564.53,358101.59,2023,710,2020-09-17,2024-04-25
18,9,1939015.47,2320049.93,2022,666,2020-02-17,2021-04-14
19,5,3424466.33,2682293.03,2026,756,2023-10-25,2021-04-01
20,1,1502825.64,664762.87,2025,996,2022-12-14,2025-08-12
