Scenario,Intent #,Description,Domain,Sub-Domain,Data Source,Business View,Unstructured Source,Intent Types,Data Fetch,Reasoning,Action
1] Show me why invoice INV-7821 for order ORD-4589 is high…,1,Fetch and analyze invoice INV-7821 and payment records for order ORD-4589 to determine why the amount is higher than expected,Finance,Invoicing,Structured,Finance_Accounting_Business_View,—,"Data, Reasoning",Yes,Yes,No
1] Show me why invoice INV-7821 for order ORD-4589 is high…,2,Compare invoice and payment records against the contract discount terms,Sales,Contract,Both,Finance_Accounting_Business_View,Contract discount terms,"Data, Reasoning",Yes,Yes,No
1] Show me why invoice INV-7821 for order ORD-4589 is high…,3,Create an invoice correction request if the discount was missed,Finance,Invoicing,Structured,Finance_Accounting_Business_View,—,Action,No,No,Yes
2] I need to analyse whether customer ACME Corp was charge…,1,Fetch order history for customer ACME Corp,Sales,Booking,Structured,Sales_Booking_Business_View,—,Data,Yes,No,No
2] I need to analyse whether customer ACME Corp was charge…,2,Fetch invoice details for customer ACME Corp,Finance,Invoicing,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
2] I need to analyse whether customer ACME Corp was charge…,3,Fetch payment status for customer ACME Corp,Finance,Payment,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
2] I need to analyse whether customer ACME Corp was charge…,4,Retrieve the signed pricing agreement for customer ACME Corp,Sales,Contract,Unstructured,—,signed pricing agreement,Data,Yes,No,No
2] I need to analyse whether customer ACME Corp was charge…,5,"Analyse whether ACME Corp was charged correctly by comparing order history, invoice details, payment status, and pricing agreement",Finance,Invoicing,Both,Finance_Accounting_Business_View,signed pricing agreement,Reasoning,No,Yes,No
3] Check if the customer’s refund is delayed by reviewing …,1,Fetch refund transaction records for the customer,Finance,Refund,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
3] Check if the customer’s refund is delayed by reviewing …,2,Retrieve the cancellation status of the order,Sales,Cancellation,Structured,Sales_Cancellation_Business_View,—,Data,Yes,No,No
3] Check if the customer’s refund is delayed by reviewing …,3,Retrieve the refund policy document,Finance,Refund,Unstructured,—,refund policy document,Data,Yes,No,No
3] Check if the customer’s refund is delayed by reviewing …,4,"Analyze refund transaction records, cancellation status, and refund policy to determine if the refund is delayed",Finance,Refund,Both,—,refund policy document,Reasoning,No,Yes,No
4] Show me whether shipment SHP-9087 breached the delivery…,1,Fetch shipment tracking data for shipment SHP-9087,Sales,Shipment,Structured,Sales_Shipment_Business_View,—,Data,Yes,No,No
4] Show me whether shipment SHP-9087 breached the delivery…,2,Retrieve the service agreement terms for shipment SHP-9087,Operations,SLA_Monitoring,Unstructured,—,service agreement,Data,Yes,No,No
4] Show me whether shipment SHP-9087 breached the delivery…,3,Compare shipment tracking data with the service agreement to determine if the delivery SLA was breached,Operations,SLA_Monitoring,Both,Operations_SLA_Monitoring_Business_View,service agreement,Reasoning,Yes,Yes,No
5] I need to analyse if the customer is eligible for a cre…,1,Fetch invoice data for the customer,Finance,Invoicing,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
5] I need to analyse if the customer is eligible for a cre…,2,Retrieve order discount records for the customer,Sales,Pricing,Structured,Sales_Booking_Business_View,—,Data,Yes,No,No
5] I need to analyse if the customer is eligible for a cre…,3,Retrieve the contract clause related to discounts,Sales,Contract,Unstructured,—,Contract discount clause,Data,Yes,No,No
5] I need to analyse if the customer is eligible for a cre…,4,"Analyze invoice data, discount records, and contract clauses to determine if the customer is eligible for a credit note",Finance,Credit_Note,Both,—,—,Reasoning,No,Yes,No
6] Check whether the vendor invoice matches the purchase o…,1,Fetch the vendor invoice record,Finance,Invoicing,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
6] Check whether the vendor invoice matches the purchase o…,2,Fetch the purchase order record,Procurement,Purchase_Order,Structured,Procurement_Purchase_Order_Business_View,—,Data,Yes,No,No
6] Check whether the vendor invoice matches the purchase o…,3,Fetch the goods receipt record,Procurement,Goods_Receipt,Structured,Procurement_Purchase_Order_Business_View,—,Data,Yes,No,No
6] Check whether the vendor invoice matches the purchase o…,4,Retrieve vendor contract terms,Procurement,Contract_Management,Unstructured,—,Vendor contract document,Data,Yes,No,No
6] Check whether the vendor invoice matches the purchase o…,5,"Validate if the vendor invoice matches the purchase order, goods receipt, and contract terms",Finance,Reconciliation,Both,—,—,Reasoning,No,Yes,No
6] Check whether the vendor invoice matches the purchase o…,6,Approve the payment for the vendor invoice,Finance,Payment,Structured,Finance_Accounting_Business_View,—,Action,No,No,Yes
7] Show me why the customer says the wrong product was shi…,1,Fetch order details to verify the product ordered,Sales,Booking,Structured,Sales_Booking_Business_View,—,Data,Yes,No,No
7] Show me why the customer says the wrong product was shi…,2,Fetch shipment records to verify the product shipped,Sales,Shipment,Structured,Sales_Shipment_Business_View,—,Data,Yes,No,No
