id,bug_title,severity,assigned_to,reported_by,project_id,status,found_in_version,fixed_in_version,created_at,updated_at
1,Null pointer in auth middleware,Cosmetic,3,68,15,Won't Fix,v3.1.18,v5.8.6,2025-08-09,2025-07-03
2,Memory leak on image upload,High,6,42,17,Verified,v1.3.18,v5.7.1,2025-04-09,2024-05-15
3,Race condition in payment flow,Cosmetic,14,59,19,Open,v5.7.9,,2025-02-09,2024-09-17
4,CSS breaks on mobile viewport,Critical,7,75,3,Open,v4.5.2,,2024-03-02,2024-03-11
5,API returns 500 on empty payload,Low,2,37,14,In Progress,v2.6.11,,2025-01-26,2025-04-04
6,Timeout on large exports,Low,13,11,18,In Progress,v3.1.5,,2025-02-06,2025-06-25
7,Incorrect date formatting in reports,High,8,1,1,Fixed,v4.8.13,,2026-04-23,2024-08-23
8,Search returns stale results,High,15,45,5,Fixed,v2.1.1,,2025-03-05,2025-09-21
9,Notification not firing on status change,Critical,8,27,3,Open,v5.0.14,,2025-12-21,2024-02-19
10,Login redirects to wrong page,High,2,52,15,In Progress,v5.3.1,v3.3.18,2024-11-22,2025-08-14
11,Null pointer in auth middleware,Cosmetic,11,31,10,In Progress,v5.3.13,v1.8.18,2026-01-22,2024-06-28
12,Memory leak on image upload,Low,18,64,2,Fixed,v4.8.10,,2025-02-22,2024-06-01
13,Race condition in payment flow,Medium,13,24,18,Verified,v2.3.9,,2024-05-27,2026-04-05
14,CSS breaks on mobile viewport,Low,2,72,14,Verified,v5.8.4,v3.3.10,2025-10-24,2024-03-21
15,API returns 500 on empty payload,Low,12,12,18,Duplicate,v2.0.8,v5.9.1,2024-03-15,2024-07-11
16,Timeout on large exports,Cosmetic,18,28,16,In Progress,v3.4.0,v2.1.15,2024-09-05,2025-12-13
17,Incorrect date formatting in reports,Cosmetic,7,51,8,Won't Fix,v3.4.12,v3.4.8,2025-01-03,2025-06-09
18,Search returns stale results,Low,15,13,16,Fixed,v2.5.10,v5.3.4,2024-01-17,2024-09-24
19,Notification not firing on status change,Cosmetic,19,75,14,Fixed,v2.3.10,v5.3.15,2025-07-17,2025-11-01
20,Login redirects to wrong page,Medium,9,98,16,Duplicate,v4.7.5,,2024-12-26,2024-06-22
