id,company_name,account_owner,annual_revenue,contract_start,contract_end,tier,created_at
1,Oscorp,20,2786358.83,2022-04-04,2023-04-04,Pro,2023-09-10
2,Stark Industries,10,16439711.68,2023-03-09,2024-03-08,Basic,2024-10-15
3,Initech,13,26652488.28,2024-05-31,2025-05-31,Pro,2024-10-21
4,Wayne Enterprises,3,19883705.15,2025-02-18,2028-02-18,Basic,2024-06-12
5,Globex,28,15687378.5,2022-02-08,2024-02-08,Partner,2025-03-20
6,Oscorp,10,5802909.96,2024-04-08,2027-04-08,Basic,2023-10-28
7,Cyberdyne,27,34496021.55,2022-12-18,2025-12-17,Enterprise,2022-06-30
8,Umbrella,14,29464120.85,2024-06-13,2025-06-13,Basic,2024-03-21
9,Wayne Enterprises,8,16686777.69,2023-09-28,2026-09-27,Pro,2022-06-06
10,Globex,17,25522105.51,2024-11-11,2027-11-11,Enterprise,2023-12-21
11,Umbrella,4,7364888.7,2025-08-14,2026-08-14,Pro,2022-12-22
12,Globex,6,47567042.42,2025-05-18,2026-05-18,Partner,2024-08-08
13,Cyberdyne,22,46211505.21,2025-02-28,2028-02-28,Enterprise,2025-07-08
14,Cyberdyne,3,23472608.12,2023-10-10,2024-10-09,Enterprise,2023-07-17
15,Wayne Enterprises,17,3755823.28,2025-04-26,2026-04-26,Partner,2024-07-14
16,Wayne Enterprises,27,14389497.78,2022-03-19,2023-03-19,Basic,2025-06-13
17,Oscorp,15,29037453.9,2025-05-01,2028-04-30,Basic,2024-07-10
18,Umbrella,11,30270041.41,2025-03-16,2028-03-15,Pro,2022-05-07
19,Wayne Enterprises,23,4262240.14,2024-07-11,2025-07-11,Pro,2022-03-22
20,Cyberdyne,15,26227224.23,2023-05-23,2026-05-22,Pro,2024-01-16
