id,product_name,sku,category,unit_price,cost_price,stock_level,supplier_id,reorder_point,created_at,updated_at
1,Laptop Pro X,SKU-63578,Office Supplies,1870.53,772.82,347,20,16,2024-11-16,2023-05-15
2,Monitor UltraWide,SKU-60667,Office Supplies,1655.16,865.96,129,20,29,2024-11-13,2023-06-16
3,Standing Desk,SKU-55851,Office Supplies,2917.87,1040.43,495,13,26,2023-06-23,2024-09-26
4,Ergo Chair,SKU-53054,Furniture,2799.02,1560.17,343,17,21,2025-05-17,2025-11-07
5,Wireless Mouse,SKU-33627,Furniture,1815.52,807.98,174,16,34,2024-04-08,2023-10-09
6,Mechanical Keyboard,SKU-23256,Hardware,783.18,327.62,394,18,77,2023-03-19,2024-11-20
7,USB-C Hub,SKU-88282,Software,4383.2,2398.54,78,6,33,2023-12-06,2025-06-15
8,Webcam HD,SKU-41133,Software,228.03,101.64,312,10,67,2024-04-24,2025-12-29
9,Noise Cancelling Headphones,SKU-71474,Furniture,1203.45,825.85,188,19,66,2025-08-03,2024-07-31
10,Tablet S10,SKU-64874,Furniture,3892.84,1950.95,418,7,87,2023-10-11,2024-05-27
11,Server Rack 42U,SKU-58655,Hardware,270.38,133.09,478,4,76,2023-09-13,2024-08-06
12,Network Switch 24P,SKU-68893,Hardware,428.54,156.04,75,14,21,2024-03-30,2025-07-12
13,Cable Management Kit,SKU-64381,Electronics,4424.3,2973.96,202,17,57,2024-04-27,2025-03-01
14,Power Strip 12P,SKU-13694,Office Supplies,4972.68,2237.53,476,4,93,2024-11-17,2023-10-27
15,External SSD 2TB,SKU-71925,Furniture,696.62,288.92,388,16,67,2023-01-11,2023-06-12
16,GPU Workstation,SKU-29597,Hardware,104.83,40.49,481,20,77,2025-05-16,2023-08-16
17,RAM Kit 64GB,SKU-25970,Electronics,3883.1,1534.04,122,14,91,2025-07-25,2023-05-09
18,UPS 1500VA,SKU-88215,Hardware,563.18,372.86,8,17,83,2024-05-10,2023-10-22
19,Conference Speaker,SKU-56244,Furniture,1463.45,439.95,292,14,33,2023-06-25,2025-12-08
20,Document Scanner,SKU-78951,Hardware,4873.53,1593.99,259,17,80,2023-02-11,2025-03-10
