id,transaction_type,amount,currency,department_id,vendor_id,description,transaction_date,created_at
1,refund,204338.77,GBP,4,17,Transaction 1 - Q4,2023-09-26,2024-09-06
2,transfer,316245.58,USD,1,30,Transaction 2 - Q1,2023-05-31,2026-01-06
3,payment,505934.11,EUR,15,23,Transaction 3 - Q1,2024-05-15,2025-01-26
4,refund,157831.06,GBP,10,42,Transaction 4 - Q1,2026-02-09,2024-09-05
5,invoice,938936.11,EUR,5,8,Transaction 5 - Q1,2026-02-07,2023-11-15
6,refund,281828.1,EUR,12,22,Transaction 6 - Q2,2024-06-24,2025-11-01
7,transfer,251196.14,USD,2,41,Transaction 7 - Q4,2024-07-20,2023-04-01
8,invoice,333623.18,EUR,11,17,Transaction 8 - Q2,2025-06-23,2026-02-03
9,transfer,560950.77,USD,2,45,Transaction 9 - Q2,2026-01-22,2023-03-15
10,refund,582551.32,EUR,7,9,Transaction 10 - Q1,2024-09-23,2025-01-16
11,invoice,898934.74,EUR,11,16,Transaction 11 - Q1,2024-12-25,2026-02-20
12,transfer,973839.64,EUR,15,16,Transaction 12 - Q2,2023-12-29,2025-04-24
13,invoice,179442.73,GBP,13,27,Transaction 13 - Q2,2024-06-30,2023-11-23
14,invoice,382603.47,USD,14,31,Transaction 14 - Q2,2024-02-13,2025-07-31
15,refund,305260.35,EUR,4,2,Transaction 15 - Q2,2025-03-27,2024-11-03
16,refund,864366.51,GBP,6,42,Transaction 16 - Q4,2026-01-03,2024-11-09
17,invoice,115430.22,GBP,3,38,Transaction 17 - Q3,2023-03-20,2023-08-11
18,adjustment,434620.3,GBP,7,39,Transaction 18 - Q1,2025-02-27,2026-03-26
19,payment,254797.03,JPY,1,34,Transaction 19 - Q2,2025-01-15,2025-06-02
20,invoice,948879.6,GBP,10,21,Transaction 20 - Q1,2024-09-07,2025-11-04
