txn_id,txn_date,customer_id,product_id,quantity
9001,2026-05-03,C001,1,1
9002,2026-05-04,C002,4,3
9003,2026-05-06,C003,6,1
9004,2026-05-09,C001,3,2
9005,2026-05-11,C004,8,2
9006,2026-05-12,C005,9,4
9007,2026-05-15,C002,7,6
9008,2026-05-17,C006,5,1
9009,2026-05-18,C003,2,5
9010,2026-05-20,C001,10,3
9011,2026-05-22,C004,1,1
9012,2026-05-24,C005,6,2
9013,2026-05-26,C002,8,1
9014,2026-05-28,C006,3,2
9015,2026-05-30,C003,5,3
9016,2026-06-01,C001,6,1
9017,2026-06-03,C005,4,4
9018,2026-06-05,C004,9,2
9019,2026-06-07,C002,1,1
9020,2026-06-09,C006,7,8
9021,2026-06-10,C003,9,1
9022,2026-06-11,C001,5,2
